sentimen,tweet,clean_tweet
positif,"Di kepemimpinan Presiden Jokowi, Indonesia maju saat perekonomian dunia tidak menentu.",kepemimpinan presiden jokowi indonesia maju perekonomian dunia menentu
netral,berita itu  http://betul.tpÂ  berita lama. didesaku ada beberapa pemilik sawah yg ngga cocok harga. sawah2 itupun jg dilewatin bangun jlnnya. termsk sawah kakakku. stlh ada titik temu ya disambung jln tolnya. sdhlah. demi Allah aku bicara jujur.ngga ada hubnya dng capres.,berita berita lama didesaku beberapa pemilik sawah cocok harga sawah2 itupun dilewatin bangun jlnnya termsk sawah kakakku ada titik temu disambung jalan tolnya sdhlah allah aku bicara jujur tidak ada hubnya calon presiden
netral,"Maaf mas saya gk pake yg subsidi,saya pake yg12kgðŸ˜‚soal harga udah tertera di nomor reg.nya dan wajib di tempel kan di dinding toko biar masyarakat tau,mangkanya saya tanya ke abg saya knp harganya brubah,katanya di ubah pk jokowi,subsidinya di alihkan",maaf mas tidak pakai subsidi pakai yg12kgðÿ soal harga tertera nomor reg nya wajib tempel kan dinding toko biar masyarakat tau mangkanya tanya abg kenapa harganya brubah katanya ubah pak jokowi subsidinya alihkan
netral,"Video dengan sudut pandang berbeda, mau @jokowi atau @prabowo sama saja.   https://youtu.be/qlB7vg4I-ToÂ   Video yg membahas secara real masalah energi, sosial, lingkungan, ekonomi, politik, dan budaya dari batubara.",video sudut pandang berbeda mau sama video membahas real masalah energi sosial lingkungan ekonomi politik budaya batubara
negatif,"Aduh bego nya kampret yankayak gini, presidem sebelum Jokowi ya termasuk SBY, aduh kampret otak nya maundi reparasi tetep goublok..ðŸ¤£ðŸ¤£ðŸ¤£..BBM itu sekarang ngikutin harga pasar jd kalo naek ya naek kalo turun ya turun, BBM subsidi nga naek, kampret ilmu cetek aja belagu..ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£",aduh bego nya kampret yankayak begini presidem jokowi termasuk susilo bambang yudhoyono aduh kampret otak nya maundi reparasi tetap goublok ðÿ ðÿ ðÿ bahan bakar minyak sekarang mengikuti harga pasar jadi kalau naik naik kalau turun turun bahan bakar minyak subsidi naik kampret ilmu cetek belagu ðÿ ðÿ ðÿ ðÿ
positif,Saya selalu berdoa dalam hati.agar pak @prabowo mjd PRESIDEN RI.saat ini ekonomi buruk pak.sampai2 ponsel sy tutup krn ekonomi masyarakat carut marut..dn ketika menjadi PRESIDEN nanti tolong perbaiki ekonomi masyarakat pak..wslm 02 dihati.,selalu berdoa hati pak menjadi presiden ri ini ekonomi buruk pak sampai2 ponsel tutup ekonomi masyarakat carut marut ketika menjadi presiden tolong perbaiki ekonomi masyarakat pak wslm 02 dihati
netral,Presiden Jokowi - Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi  https://jatim.sindonews.com/read/9583/1/presiden-jokowi-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi-1555254249?utm_source=dlvr.it&utm_medium=referralÂ â€¦,presiden jokowi raja salman sepakat tingkatkan kerja sama ekonomi â
negatif,"Media asing yg mana?! Ayo tunjukkan, yg mana?! Jgn cuma berangan-angan lantas menabur Fitnah?!  Aku udah jijik dgn kebohongan dan kesombongan kau @Fahrihamzah !!!  Dibanding @jokowi kau tidak ada apa-apanya!!  Sama-sama makan Gaji dari pembayar pajak, tapi Kau Banyak Tidurnya!!",media asing mana ayo tunjukkan mana jangan cuma berangan angan lantas menabur fitnah aku jijik kebohongan kesombongan kamu dibanding kamu ada apa apanya sama sama makan gaji pembayar pajak kamu banyak tidurnya
netral,"Jgn "" anda dpt harga 16rb karena itu toko abang andaðŸ˜‚ðŸ˜‚ðŸ˜‚",jangan dapat harga 16rb itu toko abang andaðÿ ðÿ ðÿ
negatif,Kualitas obama sama wowo ya kayak langit sama.comberan lah...obama ngga pernah bermasalah dalam karier lah kalo wowo di pecat trus gaji karyawan ngga dibayar..wowo sama lurah ada belum tentu lebih pinter..Jokowi udah jd pejabat berpengalaman makanya bisa jd Presiden...bangun pret,kualitas obama sama prabowo kayak langit sama comberan lah obama pernah bermasalah karier lah kalau prabowo pecat terus gaji karyawan dibayar prabowo sama lurah belum lebih pintar jokowi jadi pejabat berpengalaman makanya jadi presiden bangun pret
netral,"Harga 18rb ,,untuk konsumen atau pemakai pribadi....  Kalau untuk pedagang ,jatuhnya 16rb/tabung",harga 18rb konsumen pemakai pribadi kalau pedagang jatuhnya 16rb tabung
netral,#UASdifitnahKejiDanBrutal tapi @prabowo @sandiuno siap sodaqohkan gaji nyaðŸ˜­ https://twitter.com/BangSjahrir/status/1117430313909493760Â â€¦,uasdifitnahkejidanbrutal siap sodaqohkan gaji nyaðÿ â
netral,"#JokowiJelasIslamnya #PilihOrangBaik #CoblosYangBajuPutih #BantenJokowiAmin #Banten01 Pengalaman @KHMarufAmin_ dalam ekonomi sudah malang merintang. Yakni dengan mendirikan koperasi, Baitul Mal wa Tamwil (BMT) sejenis koperasi syariah. @jokowi  pic.twitter.com/0hQUSxmAdI",jokowijelasislamnya pilihorangbaik coblosyangbajuputih bantenjokowiamin banten01 pengalaman ekonomi malang merintang dengan mendirikan koperasi baitul mal wa tamwil bmt sejenis koperasi syariat pic twitter com 0hqusxmadi
netral,"Charles Honoris, Jokowi Bangun Indonesia lewat Ekonomi Kreatif:  http://bit.ly/1skexYbÂ ",charles honoris jokowi bangun indonesia lewat ekonomi kreatif
netral,"Presiden @jokowi dan Raja Salman menggelar pertemuan bilateral di Istana Pribadi Raja (Al-Qasr Al-Khas), Minggu (14/4) sore. Dalam pertemuan yang berlangsung selepas jamuan santap siang itu, keduanya sepakat akan meningkatkan kerja sama di bidang ekonomi. (Foto dan berita: BPMI)  pic.twitter.com/68JRXIbsbz",presiden raja salman menggelar pertemuan bilateral istana pribadi raja al qasr al khas minggu 14 4 sore pertemuan berlangsung selepas jamuan santap siang keduanya sepakat meningkatkan kerja sama bidang ekonomi foto berita bpmi pic twitter com 68jrxibsbz
netral,tp kenapa  fokus akan hal begitu  unicorn lah dll tidak selama nya dunia digital baik  contoh ecomerce  memamg harga lebih murah tapi memutus mata rantai distribusi sehinga distributor bisa menjual langsung barg sehingga masarakat tdk dpt kebagaian keutungan sbgai pengecer   :/,kenapa fokus hal unicorn lah lain selama nya dunia digital baik contoh ecomerce memamg harga lebih murah memutus mata rantai distribusi sehinga distributor menjual langsung barg masarakat tidak dapat kebagaian keutungan pengecer
netral,Prabowo-Sandi Kembali Tegaskan Tidak Akan Ambil Gaji Bila Terpilih  https://politik.rmol.co/read/2019/04/13/385982/Prabowo-Sandi-Kembali-Tegaskan-Tidak-Akan-Ambil-Gaji-Bila-Terpilih-Â â€¦,prabowo sandi tegaskan akan ambil gaji bila terpilih â
netral,"Jika Terpilih, Prabowo-Sandiaga Janji Tak Ambil Gaji  https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gajiÂ â€¦",terpilih prabowo sandiaga janji tak ambil gaji â
positif,"Kalo mau Listrik Turun, Kalo mau harga terjangkau, Kalo mau pelayanan BPJS baik, Kalo mau Honorer lebih baik  Dll maka #17April2019 Tusuk Prabowo Sandi (TPS).  #ClosingStatement #Debat5Pilpres2019",kalau mau listrik turun kalau mau harga terjangkau kalau mau pelayanan badan penyelenggara jaminan sosial baik kalau mau honorer lebih baik lain maka 17april2019 tusuk prabowo sandi tempat pemungutan suara closingstatement debat5pilpres2019
netral,Penutup debat pamungkas ala prabowo-sandi. Jika diberi mandat nanti seperserpun gaji tidak akan mereka ambil ðŸ˜­  https://www.facebook.com/roy11.97/videos/993285917541989/Â â€¦,penutup debat pamungkas ala prabowo sandi diberi mandat seperserpun gaji akan ambil ðÿ â
negatif,Utang prabowo bwjibun  ..bukan utng ln lho utang pribadinya puluhan triltun jd gaji ngk diambil....busyeettt  jngn2 utang bebas ngk dibayar jemarin2 sdh minta dipailitkan biar ngk bayar  tp pemerintah ngk mau  mk bwrambiai mengumbar janji  https://twitter.com/detikcom/status/1117096276737306625Â â€¦,utang prabowo bwjibun bukan utng ln lo utang pribadinya puluhan triltun jadi gaji diambil busyeett jngn2 utang bebas dibayar jemarin2 meminta dipailitkan biar bayar pemerintah mau mk bwrambiai mengumbar janji â
negatif,"Jangan berharap banyak terhadap prabowo untuk saling memahami ataupun menghargai sesama koalisi, bahkan surat kesepakatan untuk menjadikan AHY sebagai cawapres diingkari, apalagi terhadap rakyat, tidak ada kawan dalam politik, yang ada kepentingan sesaat, #selamatkanNKRI",jangan berharap banyak prabowo saling memahami ataupun menghargai sesama koalisi bahkan surat kesepakatan menjadikan agus harimurti yudhoyono calon wakil presiden diingkari terhadap rakyat ada kawan politik ada kepentingan sesaat selamatkannkri
negatif,Pakai uang pajak atw uang pribadi pak.? Kok anak bini diajak segala.?,pakai uang pajak uang pribadi pak kok anak bini diajak segala
netral,"Mas di samping toko saya pangkalan gas punya agen untuk satu kmpung dan kuota di batasin,harga udah tertera di nomor registrasi pangkalanya @18rb /tbg jadi agen itu gk bÃ¬sa mainkn harga lagi apalagi jÃ¼al ke penjual lg krn kuota trbatasðŸ˜‚,",mas samping toko pangkalan gas punya agen satu kmpung kuota batasin harga tertera nomor registrasi pangkalanya tbg jadi agen tidak bã sa mainkn harga apalagi jã¼al penjual karena kuota trbatasðÿ
positif,"Yang janjinya mau ngehapusin pajak,  malah bikin hutang negara nambah lho mbak,  adanya pajak itu buat negara lho :)",janjinya mau ngehapusin pajak malah bikin hutang negara menambah lo mbak adanya pajak buat negara lo
netral,Jokowi dan Raja Salman Sepakati Kerja Sama di Bidang Ekonomi  https://www.gardaindonews.com/jokowi-dan-raja-salman-sepakati-kerja-sama-di-bidang-ekonomi/Â â€¦,jokowi raja salman menyepakati kerja sama bidang ekonomi â
positif,"ijin menyampaikan bang, aspirasi teman saya, di desanya penghasilan utama berasal dari lada / merica, semenjak rezim ini berkuasa, harga lada jadi murah, mereka berharap ketika Prabowo sandi berkuasa, bisa mengstabilkan harga.",izin menyampaikan bang aspirasi teman di desanya penghasilan utama berasal lada merica semenjak rezim berkuasa harga lada jadi murah berharap prabowo sandi berkuasa mengstabilkan harga
negatif,"Masalahnya Pak @Jokowi janji bahwa ekonomi meroket, eh malah nyungsep. Itu MASALAH-nya. Link dibawah untuk ingatkan Pak @Jokowi atas janji Bpk. Apa Pak @Jokowi mau akui gagal penuhi janji?  Cc: @politik_twit @Fahrihamzah @fadlizon https://money.kompas.com/read/2015/08/05/192311826/Jokowi.Mulai.September.Pertumbuhan.Ekonomi.Indonesia.Akan.MeroketÂ â€¦",masalahnya pak janji ekonomi meroket eh malah nyungsep masalah nya link bawah ingatkan pak atas janji bapak apa pak mau akui gagal penuhi janji cc â
negatif,Ini maksudnya apa ya pak??? Emangnya ngitung pertumbuhan ekonomi gmn menurut Anda pak @jokowi ?,maksudnya apa pak memangnya ngitung pertumbuhan ekonomi bagaimana anda pak
netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.   HYPERLINK "" https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦""  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]",pilihorangbaik pilihjelasislamnya pilihbajuputih berbagai pencapaian berhasil tercapai khususnya pertumbuhan ekonomi era pemerintahan sangat jauh meningkat hyperlink â â
netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Kekompakan bermula dari persatuan, rasa saling menghargai, menghormati dan melengkapi. Dengan begitu pasti bangsa ini dapat berpikir maju kedepan. @jokowi @KHMarufAmin_",pilihorangbaik pilihjelasislamnya pilihbajuputih kekompakan bermula persatuan rasa saling menghargai menghormati melengkapi begitu bangsa dapat berpikir maju depan
negatif,@detikcom @jokowi Lahh dr games bisa beli mobil mewah. Beli rumah. Punya pendapatan. Dapet penghargaan. Kasih makan orng di rumah. Lw bilang gak berbobot? Lw balik aja k hidup jaman soeharto. Orbaaaa. Hiduppp cendana! #2019DKIJOIN,lah games beli mobil mewah beli rumah punya pendapatan penghargaan kasih makan orang rumah kamu bilang berbobot kamu balik k hidup jaman soeharto orbaa hidupp cendana 2019dkijoin
netral,"Tnya sj pd diri anda jg apa msh sehat jg g anda? Semua harga ga cuma gas lpg aja yg sudah ada H.E.T Kalau anda mau harga 15-16rb.beli di pangkalan atau agen atau di SPBU yg menyediakan LPG Bnyk yg antri mlh. Desa baik"" aja mas,makane kl anda pgn duitnya bnyk,kerja keras masðŸ˜‚",tanya pada diri apa sehat juga semua harga tidak cuma gas lpg ada h e t kalau mau harga 15 16rb beli pangkalan agen di spbu menyediakan lpg banyak yang antre mlh desa baik mas makane kalau ingin duitnya banyak kerja keras masðÿ
netral,"Tax Ratio 10, xx % dan ada tax amnesty saja para pengusaha dan pelaku ekonomi sdh berat dan teriak apalagi 16, xx %. Apa yg sudah dijalankan pemerintah jokowi dibidang pajak sudah efektif sekali terbukti dengan tembus target penerimaan pajak 100% pada thn 2018 #DebatPilpres2019",tax ratio 10 xx ada tax amnesty para pengusaha pelaku ekonomi berat teriak 16 xx apa dijalankan pemerintah jokowi dibidang pajak sudah efektif sekali terbukti tembus target penerimaan pajak 100 tahun 2018 debatpilpres2019
negatif,"Ngapain holdang holding pake Istilah ""world class"" segala tapi duitnya parkir Di luar negeri. Tak Ada pengaruh ekonomi ke ekonomi nasional .",apa holdang holding pakai istilah world class segala duitnya parkir luar negeri tak pengaruh ekonomi ekonomi nasional
netral,Ayo @KPU_ID @KPU_RI segera usut kalian di gaji oleh rakyat...,ayo segera usut kalian gaji rakyat
netral,"BENARKAH KONDISI BUMN KITA GOYAH?  Prabowo Subianto mengatakan, Badan Usaha Milik Negara (BUMN) yang menjadi benteng terakhir perekonomian nasional saat ini malah goyah. Benarkah?  Dikutip...  https://www.merdeka.com/uang/disebut-goyah-bumn-cetak-laba-rp-188-triliun-di-2018.htmlÂ â€¦",benarkah kondisi badan usaha milik negara goyah prabowo subianto mengatakan badan usaha milik negara badan usaha milik negara menjadi benteng terakhir perekonomian nasional ini malah goyah benarkah dikutip â
negatif,"Dipikirnya pengembangan esport itu main doang? Aplikasi yg ada di smartphone itu byk yg mulainya dr ""main doang"" terus jd aplikasi2 yg byk manfaatnya. Kata siapa pengangguran digaji? Byk baca, buka wawasan. Jgn mpermalukan gen Z.",dipikirnya pengembangan esport main doang aplikasi ada smartphone banyak mulainya main doang terus jadi aplikasi2 banyak manfaatnya kata siapa pengangguran digaji banyak baca buka wawasan jangan mpermalukan gen z
positif,"Anda sehat?pangkalan itu harga udah di tentukan mas,anda fkir saya bodoh,justru semenjak jokowi subsidi gas di kurangi di alih kan ke dana pkh tadi,jadi cuma Ä‘i bolak balik aja,gk perlu org pinter klw cuma mbolak balik subsidiðŸ˜‚",sehat pangkalan harga tentukan mas fkir bodoh justru semenjak jokowi subsidi gas kurangi di alih kan dana program keluarga harapan tadi jadi cuma ä i bolak balik tidak perlu orang pintar kalau cuma mbolak balik subsidiðÿ
positif,Apapun yang terjadi @ygofficialblink Harga mati!! Apapun yang terjadi Jokowi&Amin untuk NKRI. @kpopzoneID,apapun terjadi harga mati apapun terjadi jokowi amin negara kesatuan republik indonesia
netral,"pak prabowo dan pak sandi pak jokowi itu sudah melakukan semenjak menjadi walikota gaji beliau di kasihkan ke warga solo yang membutuhkan,  ðŸ˜Š",pak prabowo pak sandi pak jokowi sudah melakukan semenjak menjadi wali kota gaji beliau kasihkan warga solo membutuhkan ðÿ š
positif,"Prabowo-Sandi memang pasangan yang harmonis, tahu diri dan mengerti posisinya masing-masing ðŸ‘. Bukan pencintraan, bukan kepura-puraan, mereka saling menghargai satu sama lain ðŸ˜˜. Beda dengan pasangan Goal Getter dan Boneka.  #UASdifitnahKejiDanBrutal https://twitter.com/AkunTofa/status/1117297319966199808Â â€¦",prabowo sandi memang pasangan harmonis tahu diri mengerti posisinya masing masing ðÿ bukan pencintraan bukan kepura puraan saling menghargai satu sama ðÿ beda pasangan goal getter boneka uasdifitnahkejidanbrutal â
negatif,LOE katrok loe....tekhnologi digital sekarang mampu meraih pendapatan ekonomi yang harus diperhatikan..prabowo saja yg orang kuno....taunya elus elus ekor kuda,kamu kampungan kamu tekhnologi digital sekarang mampu meraih pendapatan ekonomi harus diperhatikan prabowo yang orang kuno taunya elus elus ekor kuda
positif,"Yg biasa ngemplang pajak, korupsi maen proyek, mafia impor keknya udh pd meriang takut Prabowo menang.. #TusukPrabowoSandi #UASdifitnahKejiDanBrutal",biasa ngemplang pajak korupsi main proyek mafia impor sepertinya pada meriang takut prabowo menang tusukprabowosandi uasdifitnahkejidanbrutal
positif,"Semoga yg Amanah, ikhlas, tegas, ekonomi pro rakyat kecil, peduli petani, nelayan, buruh, pedagang kecil, yg menuju masyarakat yg adil, makmur, sejahtera dan aman. Insyaallah Pak Prabowo Subianto dan Sandi Aga memenangkan pilpres bulan April. Amin x 3 Yra !!!!",semoga amanah ikhlas tegas ekonomi pro rakyat kecil peduli petani nelayan buruh pedagang kecil menuju masyarakat adil makmur sejahtera aman insyaallah pak prabowo subianto sandi aga memenangkan pemilihan presiden bulan april amin x 3 rabbal alamin
netral,"16rb kl anda bl di agen langsung,,malah dapet 15rb...  Kl gas 18rb itu dr agen ,ke konsumen .....artinya orang jualan ya pasti cr untung,,itu namane perputaran roda ekonomiðŸ™",16rb kalau beli agen langsung malah 15rb kalau gas 18rb dari agen konsumen artinya orang jualan pasti cristiano ronaldo untung namane perputaran roda ekonomiðÿ trade_mark
negatif,"Memilukan, kemiskinanlah yg membuat Hal ini terjadi. Kalau para pendukung jokowi bilang ekonomi meningkat, Hal seperti ini ga Kita temui di tiap acara jokowi",memilukan kemiskinanlah membuat terjadi kalau pendukung jokowi bilang ekonomi meningkat seperti ini tidak temui tiap acara jokowi
positif,"Pak @jokowi kalau bapak jadi boleh tidak saya minta 1 permintaan kecil saja? Tolong hapus kan ""denda"" dari telat bayar (listrik, air, tlp, pajak, bpjs, dll yg kebutuhan inti rakyat), karena denda itu jujur wlwpun kecil nilainya tapi berat untuk kami. #terimakasih",pak kalau bapak jadi tidak meminta 1 permintaan kecil tolong hapus kan denda telat bayar listrik air tlp pajak badan penyelenggara jaminan sosial lain yang kebutuhan inti rakyat denda jujur walaupun kecil nilainya berat kami terima kasih
positif,"Memiliki pemikiran yang cemerlang untuk kemajuan ekonomi Indonesia melalui konsep ekonomi keumatan, K.H. Maâ€™ruf Amin sangat cocok mendampingi Jokowi maju di pilpres 2019.   #PilihOrangBaik #PilihjelasIslamnya #PilihBajuPutih",memiliki pemikiran cemerlang kemajuan ekonomi indonesia melalui konsep ekonomi keumatan k h maâ trade_mark ruf amin sangat cocok mendampingi jokowi maju pemilihan presiden 2019 pilihorangbaik pilihjelasislamnya pilihbajuputih
positif,Itu cuma utk state bahwa Pakde sudah menaikan gaji dan tunjangan saat Pak Prabowo baru berjanji akan menaikan :),cuma state pakde menaikkan gaji tunjangan pak prabowo baru berjanji menaikkan
positif,"17 april 2019  Marilah kita subuh berjamaah Kita gaungkan shalawat dan doa2, semoga @prabowo dan @sandiuno terpilih jd Presiden ke 8 RI.  Semoga beliau Amanah bekerja untuk rakyat, mengembalikan kedaulatan Indonesia secara ekonomi  Semoga kita semua adil makmur",17 april 2019 marilah subuh berjemaah gaungkan selawat doa2 semoga terpilih jadi presiden 8 ri semoga beliau amanah bekerja rakyat mengembalikan kedaulatan indonesia ekonomi semoga semua adil makmur
positif,PS bilang didebat keadaan ekonomi Indonesia saat ini bukan salah @jokowi tp salah pemimpin2 terdahulu. Jd utk penggemar 02 jangan salahkan Jokowi lagi ya krn bosmu udah bilang itu bukan salah Jokowi.  Semakin mantap pilih @jokowi. #PrabowoSalahkanSBY,play station bilang didebat keadaan ekonomi indonesia ini bukan salah salah pemimpin pemimpin terdahulu jadi penggemar 02 jangan salahkan jokowi ya bosmu bilang bukan salah jokowi semakin mantap pilih prabowosalahkansby
negatif,Yuuk ikut amal hadiahnya dengan mencoblos Prabowo-Sandi.  Jadi Presiden-Wapres Tanpa Digaji itu 'Gila' ! ,ayo ikut amal hadiahnya mencoblos prabowo sandi jadi presiden wakil presiden digaji gila
positif,"Kalau Pak Prabowo dan Bang Sandi tak ambil gaji jika terpilih nanti, dan seluruh gajinya akan diserahkan kepada fakir miskin dan Dhuafa.. maka saya berjanji untuk  terus membersamai orang tua dalam berjuang untuk...  https://www.facebook.com/1314455819/posts/10218671796488784/Â â€¦",kalau pak prabowo bang sandi tak ambil gaji terpilih seluruh gajinya diserahkan fakir miskin dan dhuafa saya berjanji terus membersamai orang tua berjuang â
netral,Jokowi dan Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi  http://mediaindonesia.com/read/detail/229640-jokowi-dan-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomiÂ â€¦ via @mediaindonesia,jokowi raja salman sepakat tingkatkan kerja sama ekonomi â via
positif,Tapi yang pasti aku lebih tertarik sama programnya jokowi terutama yang trans sumatera. Karna aku mau bgt ekonomi sumatera jauh berkembang dr sekarang.,aku lebih tertarik sama programnya jokowi terutama yang trans sumatra aku mau banget ekonomi sumatra jauh berkembang sekarang
positif,Rakyat Indonesia bangga mempunyai Bapak Jokowi yang dihargai oleh Raja arab saudi. Terima kasih Bapak....  https://twitter.com/jokowi/status/1117443800907931648Â â€¦,rakyat indonesia bangga mempunyai bapak jokowi dihargai raja arab saudi terima kasih bapak â
positif,"Nasionalisme beliau luar biasa didunia internasional, dalam beberapa hari ingin pemilu beliau masih saja berkunjung dan memberikan solusi kerja sama perkembangan ekonomi indonesia yang akan datang, mantab bapak jokowidodo lanjutkan",nasionalisme beliau luar biasa dunia internasional beberapa hari pemilihan umum beliau saja berkunjung memberikan solusi kerja sama perkembangan ekonomi indonesia akan datang mantap bapak jokowidodo lanjutkan
netral,7. Jokowi juga mampu mengimbangi serangan Prabosan soal mikro. Dia bahkan sengaja menyeret Prabosan dengan visi makro nya dibidang ekonomi digital dan membahasnya dari sisi mikro. Disini sandi mengalami kesalahan fatal dengan menyebut big data untuk e-KTP.,7 jokowi mampu mengimbangi serangan prabosan soal mikro bahkan sengaja menyeret prabosan visi makro nya dibidang ekonomi digital membahasnya sisi mikro sini sandi mengalami kesalahan fatal menyebut besar data e kartu tanda penduduk
netral,"Gas normal"" aja 3kg @18rb Bbm aman"" saja,malah setara harga seluruh indonesia ga seperti dulu.itu artinya keadilan sosial bagi seluruh rakyat indonesia Sembako normal"" aja,mas saya ini jualan makanan jadi setiap hari belanja ke pasar, Belanja ga,bilang mahalðŸ˜‚ Ojo dumehðŸ™",gas normal 3kg bahan bakar minyak aman malah setara harga seluruh indonesia seperti dulu artinya keadilan sosial seluruh rakyat indonesia sembako normal mas ini jualan makanan jadi hari belanja pasar belanja bilang mahalðÿ ojek online dumehðÿ trade_mark
netral,"Prabowo Sebut Ekonomi Indonesia Salah Arah Karena Presiden Sebelum Jokowi, Kader Demokrat : Kita Keluar Koalisi  http://dlvr.it/R2nxQwÂ  pic.twitter.com/41j78tX8GG",prabowo sebut ekonomi indonesia salah arah presiden jokowi kader demokrat keluar koalisi pic twitter com 41j78tx8gg
positif,"Do u want to test ur Vice President, sir? ðŸ˜  Saat ini hanya @prabowo @sandiuno solusi utk Indonesia. Mau harga bhn pokok terjangkau, lapangan kerja tersedia, kesejahteraan dan status guru lbh baik, tenaga medis & pasien di perbaiki, maka #TusukPrabowoSandi ðŸ¤—ðŸ¤—ðŸ¤—ðŸ¤—ðŸ˜ðŸ˜ðŸ˜ðŸ˜",do kamu want to tes kamu vice presiden sir ðÿ ini solusi indonesia mau harga bahan pokok terjangkau lapangan kerja tersedia kesejahteraan status guru lebih baik tenaga medis pasien perbaiki tusukprabowosandi ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ ðÿ
netral,Presiden Jokowi dan Raja Salman Sepakat Tingkatkan Kerjasama Ekonomi  http://rri.co.id/post/berita/661551/nasional/presiden_jokowi_dan_raja_salman_sepakat_tingkatkan_kerjasama_ekonomi.htmlÂ â€¦ lewat @berita_rri,presiden jokowi raja salman sepakat tingkatkan kerja sama ekonomi â lewat
positif,"Alhamdulillah, dalam membangun ekonomi dan pemerataan yang adil pasti akan mengalami batu aral dan pasti akan ada pihak yang merasa jadi korban.... tapi apa yang bapak kerjakan dan lakukan saat ini saya percaya dan yakin suatu saat anak dan cucu saya yang merasakannya",alhamdulillah membangun ekonomi pemerataan adil mengalami batu aral pasti akan ada pihak merasa jadi korban apa bapak kerjakan lakukan ini percaya yakin suatu anak cucu yang merasakannya
positif,Udah jelas unggul @prabowo dong. MENANG TELAK.....!!! EKONOMI MEMANG JAGONYA PAK @sandiuno.,jelas unggul dong menang telak ekonomi memang jagonya pak
netral,Jika Terpilih Prabowo-Sandi akan Sumbangkan Gajinya untuk Anak Yatim dan Dhuafa  http://bit.ly/2GpAeRdÂ ,terpilih prabowo sandi sumbangkan gajinya anak yatim dhuafa
positif,"Ekonomi salah satu kebangkitan bangsa,teruskan perjuagan pak prabowo_sandi,kami dari padang lawas,sumattra utara (rajuddin harahap)selalu bersama 02.pak prabowo-sandi do'a dan dukugan sama2 kita do'akan,menjadi pak presiden dan wakil presiden thn 2019,amin.",ekonomi salah satu kebangkitan bangsa teruskan perjuagan pak prabowo_sandi dari padang lawas sumattra utara rajuddin harahap selalu bersama 02 pak prabowo sandi do a dukugan sama sama do menjadi pak presiden wakil presiden tahun 2019 amin
netral,"Presiden @jokowi dan Raja Salman menggelar pertemuan bilateral di Istana Pribadi Raja (Al-Qasr Al-Khas), Minggu (14/4) sore.  Dalam pertemuan tersebut Presiden @jokowi dan Raja Salman sepakat akan meningkatkan kerja sama di bidang ekonomi. (Foto dan berita biro pers setpres)  pic.twitter.com/YyJUoMQQBC",presiden raja salman menggelar pertemuan bilateral istana pribadi raja al qasr al khas minggu 14 4 sore pertemuan tersebut presiden raja salman sepakat meningkatkan kerja sama bidang ekonomi foto berita biro pers setpres pic twitter com yyjuomqqbc
netral,"Kalo dekat"" hari H biasanya harga tiketnya turun",kalau dekat hari h biasanya harga tiketnya turun
netral,Jokowi-Salman Sepakati Peningkatan Kerjasama Ekonomi  https://ivoox.id/jokowi-salman-sepakati-peningkatan-kerjasama-ekonomi/Â â€¦,jokowi salman menyepakati peningkatan kerja sama ekonomi â
netral,"Menang Pilpres 2019, Prabowo-Sandi Komitmen Tidak Ambil Gaji Walapun Serupiah  https://mujahiddakwah.com/2019/04/menang-pilpres-2019-prabowo-sandi-komitmen-tidak-ambil-gaji-walapun-serupiah/Â â€¦ lewat @ https://twitter.com/mujahiddakwah",menang pemilihan presiden 2019 prabowo sandi komitmen ambil gaji walapun serupiah â lewat
positif,Wajib...pak jokowi 2 periode harga mati....,wajib pak jokowi 2 periode harga mati
negatif,Bikin puisi tentang ekonomi 5 persen kayak nya,bikin puisi ekonomi 5 persen kayak nya
negatif,Ada bukti harga barang di sana turun KARENA TOL ???,bukti harga barang sana turun tol
netral,Jokowi dan Salman sepakati peningkatan kerja sama ekonomi - ANTARA News Jawa Barat  https://jabar.antaranews.com/berita/92587/jokowi-dan-salman-sepakati-peningkatan-kerja-sama-ekonomi#.XLNN83UWAlo.twitterÂ â€¦,jokowi salman menyepakati peningkatan kerja sama ekonomi news jawa barat â
